Uruguay,NULL,1.242289E+09,1.547389E+09,1.710004E+09,1.539682E+09,1.975702E+09,1.890769E+09,1.809184E+09,1.597721E+09,1.593675E+09,2.004435E+09,2.137097E+09,2.807258E+09,2.189418E+09,3.964296E+09,4.09021E+09,3.538283E+09,3.667161E+09,4.114667E+09,4.910257E+09,7.181185E+09,1.016302E+10,1.104834E+10,9.178802E+09,5.102281E+09,4.850242E+09,4.732018E+09,5.880113E+09,7.367494E+09,8.213515E+09,8.438951E+09,9.29884E+09,1.120597E+10,1.28782E+10,1.500211E+10,1.747465E+10,1.929766E+10,2.051554E+10,2.396982E+10,2.538593E+10,2.398395E+10,2.282326E+10,2.089879E+10,1.360649E+10,1.204563E+10,1.368633E+10,1.736286E+10,1.957946E+10,2.341057E+10,3.036621E+10,3.166091E+10,4.028448E+10,4.796244E+10,5.126439E+10,5.753123E+10,5.723601E+10,5.32743E+10,5.723665E+10,6.423397E+10,6.451504E+10,6.123115E+10,5.362883E+10
Upper middle income,NULL,2.379344E+11,2.133097E+11,2.238717E+11,2.333284E+11,2.686296E+11,2.98646E+11,3.292773E+11,3.323154E+11,3.474172E+11,3.899287E+11,4.262415E+11,4.641673E+11,5.279522E+11,6.797412E+11,8.437348E+11,9.291566E+11,9.877832E+11,1.092892E+12,1.173129E+12,1.428847E+12,1.650574E+12,1.795631E+12,1.723064E+12,1.640642E+12,1.70162E+12,1.782371E+12,1.810875E+12,1.930478E+12,2.148508E+12,2.273167E+12,2.660328E+12,2.769158E+12,2.695057E+12,2.936718E+12,3.214651E+12,3.579298E+12,3.89414E+12,4.168899E+12,4.119327E+12,3.890395E+12,4.297006E+12,4.323005E+12,4.359827E+12,4.880908E+12,5.851442E+12,7.035247E+12,8.361613E+12,1.039071E+13,1.268635E+13,1.219168E+13,1.479903E+13,1.784849E+13,1.911957E+13,2.054451E+13,2.118933E+13,1.989341E+13,1.979362E+13,2.191199E+13,2.35809E+13,2.397975E+13,2.310488E+13
United States,NULL,5.433E+11,5.633E+11,6.051E+11,6.386E+11,6.858E+11,7.437E+11,8.15E+11,8.617E+11,9.425E+11,1.0199E+12,1.073303E+12,1.16485E+12,1.27911E+12,1.425376E+12,1.545243E+12,1.684904E+12,1.873412E+12,2.081826E+12,2.351599E+12,2.627334E+12,2.857307E+12,3.207042E+12,3.343789E+12,3.634038E+12,4.037613E+12,4.338979E+12,4.579631E+12,4.855215E+12,5.236438E+12,5.64158E+12,5.963144E+12,6.158129E+12,6.520327E+12,6.858559E+12,7.287236E+12,7.639749E+12,8.073122E+12,8.577555E+12,9.062818E+12,9.630664E+12,1.025235E+13,1.058182E+13,1.093642E+13,1.145824E+13,1.221373E+13,1.303664E+13,1.381461E+13,1.445186E+13,1.471284E+13,1.444893E+13,1.499205E+13,1.554258E+13,1.619701E+13,1.678485E+13,1.752716E+13,1.82383E+13,1.874508E+13,1.954298E+13,2.061186E+13,2.143322E+13,2.09366E+13
United Kingdom,NULL,7.323397E+10,7.774197E+10,8.124757E+10,8.656196E+10,9.440756E+10,1.018248E+11,1.085728E+11,1.131169E+11,1.077599E+11,1.164647E+11,1.306719E+11,1.481139E+11,1.69965E+11,1.92538E+11,2.061314E+11,2.417566E+11,2.326146E+11,2.630665E+11,3.35883E+11,4.389941E+11,5.649477E+11,5.407657E+11,5.150489E+11,4.89618E+11,4.614871E+11,4.892852E+11,6.014526E+11,7.451626E+11,9.101227E+11,9.268848E+11,1.093169E+12,1.142797E+12,1.17966E+12,1.061389E+12,1.14049E+12,1.341614E+12,1.41539E+12,1.558202E+12,1.651618E+12,1.682174E+12,1.658193E+12,1.638657E+12,1.780082E+12,2.050919E+12,2.412045E+12,2.532796E+12,2.706015E+12,3.093407E+12,2.921432E+12,2.41239E+12,2.48158E+12,2.659882E+12,2.704017E+12,2.783251E+12,3.065521E+12,2.932785E+12,2.693248E+12,2.662484E+12,2.857317E+12,2.830814E+12,2.707744E+12
United Arab Emirates,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.472067E+10,1.921302E+10,2.487177E+10,2.377583E+10,3.122546E+10,4.359875E+10,4.933342E+10,4.662272E+10,4.280332E+10,4.180795E+10,4.060365E+10,3.394361E+10,3.638491E+10,3.627568E+10,4.1465E+10,5.070144E+10,5.155217E+10,5.423917E+10,5.562517E+10,5.93051E+10,6.574367E+10,7.357124E+10,7.883901E+10,7.567434E+10,8.444547E+10,1.043374E+11,1.033116E+11,1.098162E+11,1.243464E+11,1.478244E+11,1.806175E+11,2.221165E+11,2.579161E+11,3.154746E+11,2.535474E+11,2.897873E+11,3.50666E+11,3.745906E+11,3.901076E+11,4.031371E+11,3.581351E+11,3.570451E+11,3.856055E+11,4.222151E+11,4.211423E+11,0
Ukraine,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.408779E+10,7.470371E+10,8.27092E+10,8.14569E+10,0,7.189643E+10,6.560752E+10,5.254339E+10,4.821475E+10,4.455808E+10,5.01504E+10,4.188324E+10,3.158096E+10,3.126172E+10,3.79723E+10,4.23516E+10,5.00842E+10,6.48197E+10,8.605792E+10,1.076479E+11,1.425796E+11,1.798168E+11,1.171134E+11,1.360132E+11,1.631597E+11,1.757814E+11,1.833101E+11,1.335034E+11,9.103096E+10,9.335599E+10,1.121904E+11,1.309019E+11,1.539295E+11,1.55582E+11
Uganda,NULL,4.230084E+08,4.415241E+08,4.490126E+08,5.161478E+08,5.890566E+08,8.848739E+08,9.257703E+08,9.67647E+08,1.037815E+09,1.169048E+09,1.260084E+09,1.417787E+09,1.491597E+09,1.702521E+09,2.100143E+09,2.359556E+09,2.4473E+09,2.936471E+09,2.420261E+09,2.139025E+09,1.24461E+09,1.3373E+09,2.1775E+09,2.240333E+09,3.615647E+09,3.519666E+09,3.923232E+09,6.269512E+09,6.508932E+09,5.276481E+09,4.304399E+09,3.321729E+09,2.857458E+09,3.220439E+09,3.99043E+09,5.755819E+09,6.044585E+09,6.269334E+09,6.584816E+09,5.998563E+09,6.193247E+09,5.840504E+09,6.178564E+09,6.606884E+09,7.939487E+09,9.239222E+09,9.977648E+09,1.190256E+10,1.44404E+10,2.501991E+10,2.655891E+10,2.775205E+10,2.718867E+10,2.879163E+10,3.247236E+10,3.224812E+10,2.907859E+10,3.074447E+10,3.291234E+10,3.517004E+10,3.737203E+10
Tuvalu,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8824448,9365166,9742949,9630763,1.088683E+07,1.102595E+07,1.233485E+07,1.270091E+07,1.275763E+07,1.368714E+07,1.374206E+07,1.319655E+07,1.545099E+07,1.823108E+07,2.153493E+07,2.18391E+07,2.290286E+07,2.703037E+07,3.029022E+07,2.710108E+07,3.182352E+07,3.871181E+07,3.767178E+07,3.750908E+07,3.729061E+07,3.549208E+07,3.65478E+07,4.061925E+07,4.258816E+07,4.727146E+07,4.885555E+07
Turks and Caicos Islands,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.587448E+08,3.667079E+08,4.097536E+08,4.855988E+08,5.786458E+08,7.218915E+08,7.734897E+08,8.626836E+08,7.031758E+08,6.867878E+08,7.287896E+08,7.27161E+08,7.54238E+08,8.4107E+08,9.4207E+08,1.032452E+09,1.022365E+09,1.113178E+09,1.197415E+09,9.24583E+08
Turkmenistan,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.331359E+09,3.010982E+09,3.006988E+09,3.18954E+09,0,1.6E+09,3.34E+09,2.564706E+09,2.48381E+09,2.37876E+09,2.450375E+09,2.60566E+09,2.450513E+09,2.904733E+09,3.534804E+09,4.461979E+09,5.977561E+09,6.838351E+09,8.103902E+09,1.027667E+10,1.266417E+10,1.927152E+10,2.021439E+10,2.258316E+10,2.923333E+10,3.516421E+10,3.919754E+10,4.352421E+10,3.579972E+10,3.616943E+10,3.792629E+10,4.076543E+10,4.523143E+10,0
Turkey,NULL,1.399507E+10,7.988889E+09,8.922223E+09,1.035556E+10,1.117778E+10,1.196667E+10,1.41E+10,1.564444E+10,1.75E+10,1.946667E+10,1.708696E+10,1.625662E+10,2.04311E+10,2.572438E+10,3.559991E+10,4.463371E+10,5.128013E+10,5.867681E+10,6.514702E+10,8.939409E+10,6.878929E+10,7.104002E+10,6.454633E+10,6.167828E+10,5.998991E+10,6.723495E+10,7.572801E+10,8.717279E+10,9.085281E+10,1.071433E+11,1.506763E+11,1.500278E+11,1.584591E+11,1.801697E+11,1.306902E+11,1.694859E+11,1.814756E+11,1.898346E+11,2.759674E+11,2.563855E+11,2.74303E+11,2.017512E+11,2.402532E+11,3.145924E+11,4.088761E+11,5.063083E+11,5.570578E+11,6.813374E+11,7.704622E+11,6.492726E+11,7.769926E+11,8.387628E+11,8.805564E+11,9.57783E+11,9.389526E+11,8.643167E+11,8.696929E+11,8.589963E+11,7.78377E+11,7.614282E+11,7.201012E+11
Tunisia,NULL,0,0,0,0,0,9.910476E+08,1.040952E+09,1.085714E+09,1.214667E+09,1.289905E+09,1.439238E+09,1.685217E+09,2.237476E+09,2.730788E+09,3.545934E+09,4.32861E+09,4.507929E+09,5.109324E+09,5.968044E+09,7.188192E+09,8.744135E+09,8.428514E+09,8.133401E+09,8.350177E+09,8.254892E+09,8.410186E+09,9.018136E+09,9.696271E+09,1.009629E+10,1.010208E+10,1.229057E+10,1.307478E+10,1.549729E+10,1.460895E+10,1.563246E+10,1.803088E+10,1.958732E+10,2.074636E+10,2.180337E+10,2.294369E+10,2.147326E+10,2.206603E+10,2.314215E+10,2.745301E+10,3.118306E+10,3.227301E+10,3.437731E+10,3.891408E+10,4.486097E+10,4.345494E+10,4.405093E+10,4.581063E+10,4.504414E+10,4.625107E+10,4.763239E+10,4.317353E+10,4.180129E+10,3.980255E+10,3.977048E+10,3.919572E+10,3.923567E+10
Trinidad and Tobago,NULL,5.356701E+08,5.849612E+08,6.193192E+08,6.782354E+08,7.118934E+08,7.365688E+08,7.237356E+08,7.619815E+08,7.589E+08,7.792E+08,8.2185E+08,8.967543E+08,1.083381E+09,1.308799E+09,2.042032E+09,2.442668E+09,2.500411E+09,3.138667E+09,3.562333E+09,4.602417E+09,6.235833E+09,6.992083E+09,8.140417E+09,7.76375E+09,7.757083E+09,7.375919E+09,4.794444E+09,4.797778E+09,4.496852E+09,4.323059E+09,5.068E+09,5.307906E+09,5.439553E+09,4.669489E+09,4.947206E+09,5.329214E+09,5.759538E+09,5.737752E+09,6.043694E+09,6.808983E+09,8.154338E+09,8.824873E+09,9.008273E+09,1.130546E+10,1.328028E+10,1.598228E+10,1.836936E+10,2.164162E+10,2.787159E+10,1.917217E+10,2.215795E+10,2.543301E+10,2.576322E+10,2.726848E+10,2.761584E+10,2.495986E+10,2.238626E+10,2.238543E+10,2.367992E+10,2.320833E+10,2.152983E+10
Tonga,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.250674E+07,3.003642E+07,3.413939E+07,4.156747E+07,4.4667E+07,5.326008E+07,6.224201E+07,6.206816E+07,6.086396E+07,6.424836E+07,6.005866E+07,6.819586E+07,8.166714E+07,1.066573E+08,1.063449E+08,1.135638E+08,1.322011E+08,1.370663E+08,1.384899E+08,1.95991E+08,2.088717E+08,2.221006E+08,2.149915E+08,1.915049E+08,1.992146E+08,2.048496E+08,1.81117E+08,1.827637E+08,2.02247E+08,2.30658E+08,2.617976E+08,2.922321E+08,2.98514E+08,3.444286E+08,3.123774E+08,3.6684E+08,4.145234E+08,4.707141E+08,4.506436E+08,4.398788E+08,4.370062E+08,4.205402E+08,4.603791E+08,4.892355E+08,5.1235E+08,0
